"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"d:\Project\Minor- Rebranded\StuddyBuddy\backend\routes\studyGroup.route.js", "JavaScript", 11, 0, 0, 5, 16
"d:\Project\Minor- Rebranded\StuddyBuddy\backend\routes\user.route.js", "JavaScript", 14, 0, 0, 7, 21
"d:\Project\Minor- Rebranded\StuddyBuddy\backend\server.js", "JavaScript", 54, 0, 5, 16, 75
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\App.css", "CSS", 0, 0, 0, -1, -1
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\App.js", "JavaScript", -66, 0, 0, -12, -78
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\api\chatApi.js", "JavaScript", -17, 0, 0, -5, -22
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\Layout.js", "JavaScript", -14, 0, 0, -2, -16
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\NavBar\ChatSidebar.js", "JavaScript", -60, 0, -2, -10, -72
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\NavBar\ChatSidebar.module.css", "CSS", 0, -46, 0, -7, -53
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\NavBar\GroupSidebar.js", "JavaScript", -124, 0, -4, -18, -146
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\NavBar\GroupSidebar.module.css", "CSS", 0, -118, 0, -17, -135
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\NavBar\NavBar.js", "JavaScript", -100, 0, 0, -16, -116
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\NavBar\NavBar.module.css", "CSS", 0, -123, -2, -25, -150
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\Post\Post.js", "JavaScript", -176, 0, -1, -16, -193
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\Post\PostAction.js", "JavaScript", -8, 0, 0, 0, -8
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\Post\PostCreation.js", "JavaScript", -96, 0, 0, -12, -108
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\RecommendedUser.js", "JavaScript", -123, 0, 0, -12, -135
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\Sidebar.js", "JavaScript", -70, 0, 0, -4, -74
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\User\AboutSection.js", "JavaScript", -48, 0, 0, -2, -50
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\User\EducationSection.js", "JavaScript", -113, 0, 0, -6, -119
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\User\ProfileHeader.js", "JavaScript", -236, 0, 0, -24, -260
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\User\ProfileHeader.module.css", "CSS", 0, -107, 0, -23, -130
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\User\ResourcesSection.js", "JavaScript", -169, 0, -5, -16, -190
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\forum\Answer.js", "JavaScript", -95, 0, -2, -13, -110
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\forum\AskQuestion.js", "JavaScript", -126, 0, -1, -18, -145
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\forum\ForumList.js", "JavaScript", -125, 0, 0, -13, -138
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\forum\ImageUploader.js", "JavaScript", -62, 0, -2, -12, -76
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\components\forum\QuestionDetail.js", "JavaScript", -184, 0, 0, -24, -208
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\index.css", "CSS", 0, -3, -1, -1, -5
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\index.js", "JavaScript", -20, 0, 0, -5, -25
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\lib\axios.js", "JavaScript", -8, 0, 0, -1, -9
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\lib\utils.js", "JavaScript", -3, 0, 0, -1, -4
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\PostPage.js", "JavaScript", -31, 0, 0, -7, -38
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\about\About.js", "JavaScript", -22, 0, 0, -11, -33
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\auth\Auth.js", "JavaScript", -59, 0, -2, -5, -66
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\auth\Auth.module.css", "CSS", 0, -222, -1, -33, -256
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\auth\Login.js", "JavaScript", -54, 0, -4, -7, -65
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\auth\Register.js", "JavaScript", -76, 0, -4, -9, -89
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\chat\MeetPage.js", "JavaScript", -35, 0, 0, -9, -44
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\chat\SingleChatPAge.js", "JavaScript", -126, 0, -3, -16, -145
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\chat\SingleGroupPage.js", "JavaScript", -163, 0, -3, -21, -187
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\explore\Explore.js", "JavaScript", -50, 0, -1, -11, -62
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\explore\components\GameBasedRelief.js", "JavaScript", -279, 0, -28, -47, -354
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\explore\components\SenseBasedRelief.js", "JavaScript", -345, 0, -14, -42, -401
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\explore\components\TextBasedRelief.js", "JavaScript", -258, 0, 0, -30, -288
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\explore\components\ui\button.js", "JavaScript", -32, 0, 0, -7, -39
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\explore\components\ui\card.js", "JavaScript", -34, 0, 0, -10, -44
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\explore\components\ui\tabs.js", "JavaScript", -38, 0, 0, -8, -46
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\feature\Feature.js", "JavaScript", -22, 0, 0, -10, -32
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\forum\Forum.js", "JavaScript", -16, 0, 0, -4, -20
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\home\HomePage.js", "JavaScript", -60, 0, 0, -12, -72
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\home\HomePage.module.css", "CSS", 0, -21, 0, -4, -25
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\landing\Footer.js", "JavaScript", -77, 0, 0, -7, -84
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\landing\Header.js", "JavaScript", -60, 0, 0, -7, -67
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\landing\Landing.module.css", "CSS", 0, -207, -7, -35, -249
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\landing\LandingPage.js", "JavaScript", -24, 0, 0, -9, -33
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\landing\Main.js", "JavaScript", -168, 0, 0, -7, -175
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\quiz\CreateQuiz.js", "JavaScript", -157, 0, 0, -16, -173
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\quiz\Home.js", "JavaScript", -120, 0, 0, -14, -134
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\quiz\Quiz.js", "JavaScript", -21, 0, 0, -3, -24
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\quiz\QuizGen.js", "JavaScript", -58, 0, 0, -9, -67
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\quiz\StartQuiz.js", "JavaScript", -161, 0, -3, -23, -187
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\quiz\StartQuizById.js", "JavaScript", -163, 0, 0, -19, -182
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\reward\Reward.js", "JavaScript", -9, 0, 0, -2, -11
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\search\Search.js", "JavaScript", -123, 0, -1, -11, -135
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\pages\user\ProfilePage.js", "JavaScript", -42, 0, 0, -12, -54
"d:\Project\Minor- Rebranded\StuddyBuddy\studybuddy\src\utils\dateUtils.js", "JavaScript", -5, 0, 0, -1, -6
"Total", "-", -3613, -847, -21, -456, -4937
